date,day_of_week,month,location,event_type,weather,temperature,expected_visitors,actual_visitors,vehicle_count,average_speed,available_doctors,available_nurses,available_ambulances,police_personnel,volunteers,medical_cases,parking_occupancy,river_water_level,cleanliness_score,crowd_density,congestion_level,emergency_level
2027-10-20,Wednesday,October,Mhasrul,Festival,Sunny,37,127252,141416,21393,29,20,49,5,471,785,679,17,Low,84,Medium,Low,Medium
2027-10-21,Thursday,October,Gangapur Road,Normal Day,Sunny,32,58386,57848,7858,32,10,26,3,192,321,314,10,Low,95,Low,Low,Medium
2027-10-22,Friday,October,Panchavati,Normal Day,Sunny,30,67983,63786,12633,38,10,31,3,212,354,358,10,Low,96,Low,Low,Medium
2027-10-23,Saturday,October,Trimbakeshwar Temple,Normal Day,Sunny,38,33165,30334,5986,39,10,33,3,101,168,143,10,Low,96,Low,Low,Low
2027-10-24,Sunday,October,Panchavati,Weekend,Sunny,35,145549,137404,17859,38,19,51,5,458,763,459,14,Normal,85,Medium,Low,Medium
2027-10-25,Monday,October,Mumbai Naka,Shahi Snan,Sunny,38,625940,582238,80176,10,83,181,23,1940,3234,3739,66,High,54,High,High,Critical
2027-10-26,Tuesday,October,Mhasrul,Normal Day,Cloudy,25,19548,20558,2955,42,10,24,3,80,120,56,10,Normal,96,Low,Low,Low
2027-10-27,Wednesday,October,Ramkund,Normal Day,Cloudy,25,68918,74827,14338,42,10,21,3,249,415,243,11,Low,94,Low,Low,Low
2027-10-28,Thursday,October,Trimbakeshwar Temple,Normal Day,Rainy,22,55031,51462,6941,32,10,34,3,171,285,328,10,Normal,95,Low,Low,Medium
2027-07-01,Thursday,July,Nimani,Normal Day,Sunny,38,38421,41611,5314,39,10,28,3,138,231,251,10,Normal,97,Low,Low,Low
2027-07-02,Friday,July,Mhasrul,Normal Day,Sunny,32,55613,51256,8002,43,10,33,3,170,284,220,10,Normal,96,Low,Low,Low
2027-07-03,Saturday,July,Sadhugram,Normal Day,Sunny,31,42244,45087,6221,45,10,26,3,150,250,151,10,Normal,92,Low,Low,Low
2027-07-04,Sunday,July,Adgaon Naka,Weekend,Sunny,32,110919,123052,21273,31,17,41,4,410,683,371,17,Normal,85,Medium,Low,Medium
2027-07-05,Monday,July,College Road,Shahi Snan,Sunny,32,438968,438937,77297,17,62,125,17,1463,2438,1711,64,High,64,High,Medium,High
2027-07-06,Tuesday,July,Mhasrul,Normal Day,Sunny,30,25119,22758,4481,40,10,34,3,80,126,84,10,Normal,100,Low,Low,Low
2027-07-07,Wednesday,July,Adgaon Naka,Normal Day,Cloudy,30,14513,15268,2167,39,10,31,3,80,120,70,10,Normal,100,Low,Low,Low
2027-07-08,Thursday,July,Nimani,Normal Day,Sunny,38,49634,45099,6564,39,10,20,3,150,250,156,10,Normal,94,Low,Low,Low
2027-07-09,Friday,July,Tapovan,Normal Day,Cloudy,25,32997,30772,4506,42,10,28,3,102,170,100,10,Normal,100,Low,Low,Low
2027-07-10,Saturday,July,Dwarka Circle,Festival,Sunny,34,145769,148903,25054,22,21,45,5,496,827,875,20,Normal,86,Medium,Low,Medium
2027-07-11,Sunday,July,CBS Nashik,Weekend,Sunny,38,125313,122325,19756,30,17,46,4,407,679,507,16,Low,88,Medium,Low,Medium
2027-07-12,Monday,July,Sadhugram,Normal Day,Cloudy,28,76773,76414,11324,34,10,22,3,254,424,420,10,Normal,92,Low,Low,Medium
2027-07-13,Tuesday,July,Ramkund,Normal Day,Sunny,36,39352,40179,6711,45,10,20,3,133,223,172,10,Low,96,Low,Low,Low
2027-07-14,Wednesday,July,CBS Nashik,Normal Day,Cloudy,27,74847,68451,11776,28,10,25,3,228,380,303,10,Low,96,Low,Low,Medium
2027-07-15,Thursday,July,Gangapur Road,Shahi Snan,Sunny,31,542234,515645,86956,10,73,153,20,1718,2864,2738,72,High,58,High,High,Critical
2027-07-16,Friday,July,Shalimar,Normal Day,Sunny,38,69397,72609,11271,40,10,28,3,242,403,204,10,Normal,93,Low,Low,Low
2027-07-17,Saturday,July,Dwarka Circle,Normal Day,Sunny,31,38311,35379,6287,29,10,22,3,117,196,185,10,Low,93,Low,Low,Low
2027-07-18,Sunday,July,Dwarka Circle,Weekend,Rainy,28,89213,85285,11513,30,12,33,3,284,473,382,10,High,94,Low,Low,Medium
2027-07-19,Monday,July,Panchavati,Normal Day,Sunny,32,18018,16934,3204,31,10,22,3,80,120,55,10,Low,97,Low,Low,Low
2027-07-20,Tuesday,July,Trimbakeshwar Temple,Festival,Sunny,38,370470,366477,62089,11,52,104,14,1221,2035,1617,51,Normal,65,High,Medium,High
2027-07-21,Wednesday,July,Tapovan,Normal Day,Sunny,37,37905,41464,5828,40,10,30,3,138,230,180,10,Low,96,Low,Low,Low
2027-07-22,Thursday,July,Mumbai Naka,Normal Day,Sunny,37,25041,23040,3964,37,10,35,3,80,128,120,10,Normal,94,Low,Low,Low
2027-07-23,Friday,July,Ramkund,Normal Day,Rainy,25,83849,92102,16799,33,13,26,3,307,511,683,13,Normal,91,Low,Low,Medium
2027-07-24,Saturday,July,Nimani,Normal Day,Rainy,22,30449,30774,4495,44,10,24,3,102,170,161,10,High,100,Low,Low,Low
2027-07-25,Sunday,July,Godavari Ghat,Weekend,Sunny,38,178519,184391,32271,28,26,55,7,614,1024,953,26,Low,87,Medium,Low,High
2027-07-26,Monday,July,Godavari Ghat,Normal Day,Sunny,35,100139,90476,16511,28,12,28,3,301,502,245,13,Low,95,Low,Low,Medium
2027-07-27,Tuesday,July,Sadhugram,Normal Day,Sunny,30,66880,72073,13044,36,10,29,3,240,400,246,10,Normal,92,Low,Low,Low
2027-07-28,Wednesday,July,Trimbakeshwar Temple,Normal Day,Sunny,33,57360,62478,7500,34,10,20,3,208,347,315,10,Low,96,Low,Low,Medium
2027-07-29,Thursday,July,Gangapur Road,Normal Day,Sunny,30,41121,40585,6112,45,10,22,3,135,225,163,10,Normal,96,Low,Low,Low
2027-07-30,Friday,July,Panchavati,Festival,Cloudy,32,168331,176731,32008,20,25,62,7,589,981,847,26,Normal,81,Medium,Medium,Medium
2027-07-31,Saturday,July,Godavari Ghat,Normal Day,Cloudy,29,91650,89908,13228,32,12,24,3,299,499,515,11,Low,94,Low,Low,Medium
2027-08-01,Sunday,August,Shalimar,Weekend,Rainy,29,146047,145026,19224,41,20,40,5,483,805,818,16,Normal,90,Medium,Low,Medium
2027-08-02,Monday,August,Adgaon Naka,Normal Day,Rainy,27,51375,48836,8110,41,10,27,3,162,271,309,10,Normal,97,Low,Low,Medium
2027-08-03,Tuesday,August,Adgaon Naka,Normal Day,Cloudy,30,48308,53582,9633,45,10,20,3,178,297,328,10,Normal,91,Low,Low,Medium
2027-08-04,Wednesday,August,Adgaon Naka,Normal Day,Cloudy,26,57489,64048,10115,36,10,23,3,213,355,364,10,Low,90,Low,Low,Medium
2027-08-05,Thursday,August,College Road,Shahi Snan,Sunny,36,568382,592475,117250,5,84,174,23,1974,3291,3539,97,High,46,High,High,Critical
2027-08-06,Friday,August,College Road,Normal Day,Sunny,32,37713,35846,7095,37,10,28,3,119,199,171,10,Low,93,Low,Low,Low
2027-08-07,Saturday,August,Gangapur Road,Normal Day,Sunny,31,27421,28363,3822,29,10,30,3,94,157,78,10,Normal,93,Low,Low,Low
2027-08-08,Sunday,August,Mumbai Naka,Weekend,Sunny,37,90539,97124,14967,43,13,35,3,323,539,430,12,Low,87,Low,Low,Medium
2027-08-09,Monday,August,Sadhugram,Normal Day,Sunny,34,81166,83637,13043,32,11,33,3,278,464,512,10,Normal,91,Low,Low,Medium
2027-08-10,Tuesday,August,Mhasrul,Festival,Cloudy,29,190876,187454,28246,24,26,60,7,624,1041,770,23,Low,88,Medium,Low,Medium
2027-08-11,Wednesday,August,Godavari Ghat,Normal Day,Sunny,36,34911,37095,5569,29,10,30,3,123,206,222,10,Normal,92,Low,Low,Low
2027-08-12,Thursday,August,Sadhugram,Normal Day,Sunny,32,37763,39192,6171,36,10,29,3,130,217,121,10,Normal,93,Low,Low,Low
2027-08-13,Friday,August,Dwarka Circle,Normal Day,Rainy,22,29795,27658,5476,41,10,32,3,92,153,143,10,High,96,Low,Low,Low
2027-08-14,Saturday,August,Gangapur Road,Normal Day,Sunny,37,52765,50032,7208,43,10,22,3,166,277,215,10,Low,95,Low,Low,Low
2027-08-15,Sunday,August,Mumbai Naka,Weekend,Cloudy,27,129776,129595,25708,26,18,39,5,431,719,415,21,Normal,85,Medium,Low,Medium
2027-08-16,Monday,August,Gangapur Road,Normal Day,Rainy,25,28272,30067,4481,36,10,25,3,100,167,220,10,High,93,Low,Low,Low
2027-08-17,Tuesday,August,Gangapur Road,Normal Day,Sunny,33,51625,51752,6734,35,10,33,3,172,287,259,10,Normal,99,Low,Low,Low
2027-08-18,Wednesday,August,Shalimar,Normal Day,Sunny,35,37392,39402,5184,45,10,22,3,131,218,129,10,Normal,96,Low,Low,Low
2027-08-19,Thursday,August,Gangapur Road,Normal Day,Sunny,30,39498,35613,6070,34,10,22,3,118,197,158,10,Normal,98,Low,Low,Low
2027-08-20,Friday,August,Sadhugram,Festival,Cloudy,27,174035,191478,24901,40,27,66,7,638,1063,868,20,Normal,87,Medium,Low,Medium
2027-08-21,Saturday,August,Godavari Ghat,Normal Day,Sunny,31,51962,50785,9687,45,10,25,3,169,282,186,10,Low,95,Low,Low,Low
2027-08-22,Sunday,August,Trimbakeshwar Temple,Weekend,Sunny,38,183940,188089,24852,33,26,60,7,626,1044,1100,20,Normal,86,Medium,Low,High
2027-08-23,Monday,August,College Road,Normal Day,Sunny,31,48132,48931,9165,34,10,32,3,163,271,144,10,Normal,91,Low,Low,Low
2027-08-24,Tuesday,August,College Road,Normal Day,Sunny,33,26511,27973,4901,43,10,20,3,93,155,159,10,Normal,94,Low,Low,Low
2027-08-25,Wednesday,August,Godavari Ghat,Shahi Snan,Cloudy,26,754816,731708,125110,8,104,216,29,2439,4065,3526,100,High,40,High,High,Critical
2027-08-26,Thursday,August,College Road,Normal Day,Sunny,31,31705,29456,4103,43,10,33,3,98,163,149,10,Low,100,Low,Low,Low
2027-08-27,Friday,August,Sadhugram,Normal Day,Sunny,38,69473,64713,9416,32,10,23,3,215,359,311,10,Low,98,Low,Low,Medium
2027-08-28,Saturday,August,College Road,Normal Day,Sunny,37,31344,31739,5545,33,10,21,3,105,176,176,10,Normal,98,Low,Low,Low
2027-08-29,Sunday,August,Trimbakeshwar Temple,Weekend,Sunny,30,237403,247408,33708,27,35,76,9,824,1374,1274,28,Low,82,Medium,Low,High
2027-08-30,Monday,August,Godavari Ghat,Festival,Sunny,36,212139,203739,30023,25,29,58,8,679,1131,1180,25,Normal,85,Medium,Low,High
2027-08-31,Tuesday,August,Dwarka Circle,Normal Day,Sunny,37,43470,47281,7137,28,10,34,3,157,262,167,10,Normal,99,Low,Low,Low
2027-09-01,Wednesday,September,Gangapur Road,Normal Day,Rainy,29,48852,50543,9161,32,10,27,3,168,280,196,10,High,95,Low,Low,Low
